Designator,Mid X,Mid Y,Layer,Rotation
C1,83.600000mm,-64.170000mm,Top,90
C2,75.300000mm,-49.900000mm,Top,90
C3,72.500000mm,-52.350000mm,Top,0
C4,81.350000mm,-60.620000mm,Top,-90
C5,82.300000mm,-60.620000mm,Top,-90
C6,80.400000mm,-60.620000mm,Top,-90
C7,79.450000mm,-60.620000mm,Top,-90
C8,73.500000mm,-57.000000mm,Top,0
C9,73.480000mm,-61.400000mm,Top,0
C10,71.300000mm,-57.000000mm,Top,180
C11,71.260000mm,-61.400000mm,Top,180
C12,75.300000mm,-64.550000mm,Top,90
C13,68.800000mm,-65.000000mm,Top,180
D1,88.687500mm,-47.700000mm,Top,0
D2,88.687500mm,-53.400000mm,Top,0
D3,88.687500mm,-55.300000mm,Top,0
D4,88.687500mm,-57.200000mm,Top,0
D5,88.650000mm,-49.590000mm,Top,0
D6,88.687500mm,-59.110000mm,Top,0
D7,88.712500mm,-51.500000mm,Top,0
J1,78.000000mm,-71.610000mm,Top,0
J2,65.500000mm,-48.500000mm,Top,0
R1,90.900000mm,-47.700000mm,Top,-90
R2,78.850000mm,-51.360000mm,Top,180
R3,83.800000mm,-72.410000mm,Top,-90
R4,83.800000mm,-70.410000mm,Top,90
R5,71.250000mm,-47.700000mm,Top,180
R6,73.350000mm,-47.700000mm,Top,180
R7,75.300000mm,-47.700000mm,Top,0
R8,81.600000mm,-62.150000mm,Top,180
R9,81.600000mm,-63.170000mm,Top,0
R10,81.600000mm,-64.170000mm,Top,180
R11,81.590000mm,-65.170000mm,Top,0
R12,83.800000mm,-68.400000mm,Top,-90
R13,82.950000mm,-51.400000mm,Top,90
R14,81.800000mm,-51.410000mm,Top,-90
R15,75.000000mm,-61.860000mm,Top,-90
R16,82.250000mm,-55.250000mm,Top,-90
R17,90.900000mm,-53.400000mm,Top,-90
R18,90.900000mm,-55.300000mm,Top,-90
R19,90.900000mm,-57.200000mm,Top,-90
R20,90.900000mm,-49.580000mm,Top,90
R21,90.900000mm,-59.110000mm,Top,-90
R22,90.900000mm,-51.500000mm,Top,90
R23,71.290000mm,-62.350000mm,Top,180
R24,73.460000mm,-62.350000mm,Top,180
R25,76.900000mm,-49.100000mm,Top,90
R26,71.700000mm,-67.400000mm,Top,0
SW1,80.300000mm,-48.275000mm,Top,0
SW2,70.800000mm,-70.800000mm,Top,90
U1,72.400000mm,-49.900000mm,Top,180
U2,88.000000mm,-64.800000mm,Top,0
U3,78.600000mm,-63.570000mm,Top,90
U4,78.580000mm,-56.370000mm,Top,90
U5,72.400000mm,-59.200000mm,Top,180
U6,72.400000mm,-54.800000mm,Top,180
U7,72.400000mm,-64.550000mm,Top,180
